1_CSF3R,2461,6890,5051,1185,2990,4696,6782,1045,16771,3072,3224,4707,2208,1746,3707,24725,9357,26115,1115,1750,15470,2041,2159,2790,4431,8535,2057,3574,1151,1689,964,2,3503,2118,4119,5767,17496,631,1931,8479,11565,3686,1496,4940,6866,3176,2253,9041,1883,12822,2586,5333,928,1126,7257,4538,7630,1232,5605,516,2585,7627,4839,12639,4932,1393,1804,3892,2910,1471,2212,2424,3767,3528,2373,3768,1584,8903,0,4754,10294,0,3459,1750,3377,2055,993,3947,2941,3645,0,5110,6629,1089,1780,8916,1014,16419,6746,5425,3010,2969,8604,6099,4738,5668,6696,877,2620,9175,22038,3908,13588,1168,1970,1056,695,22156,8728,1209,2611,6236,2345,1845,11490,1589,1622,929,1478,9208,5268,1244,2435,13466,2833,4795,3570,613,13199,1901,2868,4957,2371,3061,2775,9818,2692,12317,2535,2134,10174,6940,1008,2888,2165,8954,3766,5331,5423,13389,4109,8834,8557,3662,2594,2458,3296,3374,2105,1108,22004,4266,20867,1553,5937,22337,2758,814,610,6197,23248,22943,7733,8750,2302,4477,992,2329,2890,4661,857,1869,1881,3307,3566,3957,1626,4869,454,1296,4321,5888,7066,1637,11561,8792,6324,4260,3311,15954,10164,5514,1944,8978,5171,1166,15273,4735,1717,3869,8531,4,2825,1893,8852,1263,4,1200,3136,1269,801,683,7084,1344,6270,1739,5022,1810,1185,3767,875,1456,9366,4110,1359,2645,7345,2,731,4609,6421,2038,1952,2443,8570,1115,7337,1097,4803,2557,3183,6909,6003,7046,1955,5468,1056,3098,5986,22217,1123,2760,1019,9328,1360,2456,20664,17768,1191,3337,1732,1581,2820,3768,19152,2639,8933,2100,4488,4984,1692,20265,866,914,7184,4382,4479,1632,4625,4985,3512,4849,19237,6962,1149,948,16740,1050,1926,4414,1660,3341,9735,4589,1126,6492,2395,1115,8352,2696,22115,945,868,1278,3178,2001,21513,6825,3066,1732,613,1408,1573,19556,2432,2880,1166,476,1739,2588,10677,3628,2452,2507,868,1309,4179,3268,2157,3016,6947,1926,3898,6001,6522,793,2071,7895,4700,8040,19910,3858,8652,1224,4022,2168,2297,13672,503,0,7724,4994,793,616,713,570,5791,2022,11446,4623,757,5534,7414,3043,1152,1356,3067,855,4479,12982,2393,1238,6960,5549,2672,12831,4803,3148,6619,2085,1111,11496,16180,4821,4323,8086,2420,8386,1631,2646,7231,2035,1194,1798,1436,13863,2574,885,1185,1990,5875,9783,1025,4074,2485,5894,6436,19629,2836,2353,4379,8361,3359,3547,10285,9214,4023,1731,5965,1604,5389,863,10525,585,737,1347,10586,1638,3808,2992,1543,5751,887,4547,0,1911,989,1519,1848,634,5223,1144,7798,772,3884,2561,4367,3844,4093,3097,1658,5797,2244,2220,924,3526,4807,1876,4620,1661,0,2518,762,776,23142,11142,1185,5949,792,1678,4605,7030,1773,1385,4698,3126,526,16369,1070,4265,9568,3763,2576,888,1408,4587,7691
1_MPL,0,50,132,44,158,0,0,0,140,184,0,10,0,76,72,373,228,455,17,0,319,38,0,0,42,0,2,136,24,0,6,366,2,0,0,262,2,0,0,0,438,24,22,70,24,0,28,0,0,56,50,106,19,14,0,84,0,58,0,0,0,605,30,480,2,0,0,0,8,0,78,94,18,14,82,91,6,780,0,28,96,156,0,0,0,48,6,36,0,0,0,133,330,0,14,131,0,422,0,16,10,0,0,404,68,114,12,16,14,273,261,0,298,39,2,6,16,774,10,54,134,194,258,2,510,20,80,14,0,70,317,0,38,74,0,6,138,16,158,0,0,4,10,0,249,0,30,154,129,8,0,104,12,0,61,542,0,104,139,0,64,0,139,175,0,202,100,46,55,6,536,142,647,4,337,194,18,0,26,235,480,386,197,110,52,22,2,0,74,0,6,6,2,159,92,0,14,40,2,0,4,0,0,2,563,0,143,0,235,302,184,78,0,6,112,10,228,176,0,8,160,0,102,64,418,0,0,0,4,24,2,0,319,0,6,30,0,45,0,0,20,14,185,0,0,40,385,0,24,0,92,353,0,0,0,42,109,0,18,0,0,524,0,0,30,16,0,22,0,295,0,44,0,0,20,0,423,81,0,0,0,0,2,0,58,30,0,0,56,20,0,70,81,8,0,8,0,8,46,14,0,50,886,0,0,24,236,0,60,258,0,0,26,0,10,10,42,92,184,42,871,0,20,0,10,100,508,44,50,0,6,12,0,572,54,0,104,0,42,0,258,0,0,2,8,0,25,0,138,230,592,68,0,4,0,30,2,201,0,77,1008,20,273,36,0,34,6,40,0,0,701,0,16,72,0,2,0,0,590,0,0,0,122,0,30,4,0,0,0,869,44,48,0,40,172,64,16,196,162,62,40,106,0,2,244,4,2,352,0,74,221,0,4,47,136,0,0,43,0,166,42,224,0,22,68,0,48,148,0,16,0,78,12,150,24,372,30,60,10,0,12,0,86,12,35,0,30,0,58,106,197,391,2,208,30,42,44,8,92,26,174,78,240,0,4,0,38,32,8,20,0,272,22,64,38,0,384,0,219,238,270,68,10,10,580,0,0,58,0,0,160,0,102,0,1,112,6,272,0,0,208,0,17,4,74,34,0
1_NRAS,1144,4488,2027,272,2367,1838,1144,285,10676,2711,2065,2979,671,582,1713,12768,5025,13155,439,1292,6698,1978,281,1463,1418,3087,723,1666,484,410,421,2,302,959,1893,863,2443,469,654,2917,5130,554,589,1331,3443,1609,1393,3621,359,2232,1410,1702,220,246,2540,724,4820,380,817,631,939,2065,751,5537,2645,117,1229,1318,961,683,819,1448,2035,2239,1294,2108,624,2129,1172,980,4763,801,900,1120,256,1103,678,1102,1827,1392,0,1750,4963,678,1590,3357,635,6720,1551,3480,1420,78,3584,5379,746,620,1817,294,929,1607,10313,3745,4211,573,1119,331,63,8507,8529,488,799,5778,617,485,5096,619,1178,320,638,2212,1756,831,773,4874,3189,1554,3139,979,4828,1083,673,1004,904,763,391,4490,708,2783,704,815,2866,2038,145,379,817,3033,1354,1118,3910,3865,2842,2624,3603,1217,737,1107,1071,1633,482,321,13265,1665,10925,562,3160,12411,750,182,438,2235,12708,14759,5885,3070,1295,1282,282,1058,2737,968,228,790,297,2542,1807,540,1215,1569,239,356,1462,1087,2362,1298,9962,4748,2745,1527,1064,5391,4284,3347,674,2109,1956,557,6623,3660,295,759,4330,2,1664,855,2368,324,3118,454,2705,383,298,505,1441,288,1484,303,2949,823,594,1655,407,273,3008,1404,347,1331,2795,1176,649,2120,2480,912,140,1470,2247,579,2900,311,1482,565,1122,3636,2964,3324,320,1041,209,862,1936,10885,271,732,457,1276,174,2096,9575,6508,433,1996,512,504,1448,1386,9694,690,3277,3843,1826,2792,843,8061,415,196,1606,1168,3215,439,2626,1849,1948,2089,8244,2196,141,290,8693,581,1410,1974,16,767,3825,900,256,4442,344,415,4791,1049,6266,576,259,930,1044,1273,8513,3078,3755,635,252,541,598,5511,652,4968,423,348,500,1068,4563,2461,704,622,264,563,1929,1918,1249,1246,2866,470,1425,1967,2207,243,461,1620,1305,7193,4555,1239,4840,135,795,950,1399,5304,319,0,3492,1243,999,551,125,388,884,1666,2754,818,176,2392,4106,828,234,0,1534,64,2478,9196,894,457,2368,2867,1167,6610,5253,939,1767,641,285,8495,5203,670,3330,4079,1210,3104,296,908,4329,485,334,808,739,2749,1019,599,736,699,3325,3622,173,1844,855,1653,3289,8754,1171,482,1318,2178,1600,1703,3125,1416,2628,1053,4413,1536,5981,259,4515,99,528,338,2181,238,2282,660,1485,1072,461,1697,1225,1537,305,493,598,652,1831,563,3344,231,856,1610,1189,1737,839,760,347,2641,1669,269,368,0,1551,563,4080,624,0,926,316,366,14672,10820,771,2011,135,1423,1181,1362,143,379,1726,1352,284,5390,2,2334,5029,1389,888,91,757,966,2272
2_DNMT3A,6976,32030,9950,2479,8623,7927,3696,2356,49810,11744,7853,25311,3918,7024,10371,72823,23919,99534,3121,6374,62996,11659,5310,9465,7528,11363,3225,9771,3666,2579,1550,5544,7929,5171,13817,18110,15622,2693,2399,14672,27582,10305,6947,11223,9697,14182,7784,19491,1821,24803,6175,11875,1520,2267,16037,10658,24938,6333,9372,3307,4828,22987,11318,38674,13192,2044,4739,3322,8511,2971,7747,8573,10204,16438,6311,13109,4060,16650,2893,8859,34532,3268,6116,6055,5899,4667,3158,6407,8348,10922,8853,11978,29536,3339,7099,23542,6433,53296,9006,18803,6432,2710,20778,18548,9886,11513,13799,3195,6754,21584,70629,12944,20517,4457,4182,2412,3461,58047,34947,4205,7783,17299,8656,6400,22702,4110,6876,2665,6843,14724,11395,7207,4849,21061,8149,11187,10040,2525,29016,15261,5934,4603,5363,8400,5774,26084,1744,29575,5434,4331,30655,15485,2367,4129,7715,27598,4311,14121,12048,30069,23408,18538,31225,7301,6802,5675,8707,11252,5587,2573,82874,9448,57166,3572,12847,62645,3617,4388,2184,21443,77614,82939,16890,17859,3892,7698,2967,2561,13797,7585,1728,4187,6236,6790,7989,12618,5973,9184,1649,2694,7318,12377,20988,4146,45758,26450,15950,12869,7465,33639,19068,15577,4756,16505,7211,1958,35852,13251,4986,7721,20204,5476,15122,5185,17014,3477,11410,3001,8518,2611,3856,3721,12517,2037,5897,4115,16392,4162,2318,8121,3660,3056,24431,12033,3106,6160,20234,0,4919,13433,11252,7016,4284,6265,18324,2305,13622,2507,14303,3204,8995,19980,26037,15931,4778,10463,2641,2222,14828,54205,3987,6768,2643,21457,2360,2913,53447,33548,2874,14417,3421,7102,8,5351,48567,4925,22494,17625,10253,10772,3682,68504,3213,839,18659,7059,11623,3976,10310,19430,6698,16049,45322,16383,3389,2560,40147,2852,6747,9200,8,6536,24977,12708,1700,19341,5054,1640,25776,6907,61695,2042,2379,3238,8876,5158,53043,22731,11785,5592,2407,3824,3351,46102,7956,11842,1621,2126,2198,5448,25460,7673,6939,2384,1833,2878,10947,4533,6435,7343,19690,5440,5589,11492,12799,2050,2569,14194,9959,25063,69241,5987,26347,2782,8801,5260,2464,29655,4202,2,12104,7028,2367,2520,1594,3667,12,5682,23166,8275,2380,14792,23619,14977,1770,4580,9237,2210,11707,47860,7205,3278,11109,18016,4769,32947,18464,5967,15255,5628,1809,29791,29250,9960,14496,15254,4002,19544,3467,8523,18776,4897,3114,3775,6976,20165,3344,3041,3368,5997,8086,13617,1584,7529,6710,12524,7468,55177,9324,5607,4547,12476,9589,13272,19828,27511,9316,2084,22168,2446,32573,1208,22564,2578,5062,3271,14641,1850,6845,5352,5784,11068,3543,8231,5309,11516,1924,2732,3972,1352,11746,3632,23530,1794,6870,8878,9524,10753,11441,5594,4376,14692,4152,5703,2953,7521,10676,0,17608,5718,5492,5723,2081,2840,73002,38360,3085,7368,2249,4184,8645,14607,1991,4491,13943,5229,721,24260,2572,12022,23185,18552,8608,3489,4594,12542,22724
2_SF3B1,2410,10015,5400,745,4218,4013,1247,1102,22105,5491,6,6385,1197,1709,3703,24979,11434,23876,1728,848,18652,6046,2701,2242,4564,6575,1918,2475,2455,618,1154,663,2392,1428,5091,8679,10576,1547,2485,4503,9397,3065,1110,4418,6733,7699,3238,3869,1228,9589,2712,4667,819,1059,8164,4405,5409,2122,7056,934,2835,4843,6721,18733,3861,1273,1435,3839,4040,1442,3108,2443,5616,7515,2526,7966,2403,6889,0,4016,10991,0,1551,3294,1270,2099,1023,2416,3614,7029,4,4879,12461,782,3938,9098,2694,19181,3094,4966,3329,2288,10595,4114,5271,4483,5281,761,1433,6806,23760,6246,8575,855,1982,1314,1639,24801,8751,541,4169,5178,3018,3442,10859,1838,5376,815,1294,8027,5299,557,2343,10598,3490,516,5139,1364,8772,4170,4177,2645,2135,1924,3082,11925,650,13230,3057,2497,12148,7581,725,1685,5098,7150,2554,7351,4059,10532,7565,5040,16366,2335,1361,1814,4833,2389,1994,1161,22991,4881,24649,2664,4197,28975,1570,1838,667,8643,27473,28173,12388,8073,2743,3012,1461,2139,0,5825,1605,1596,2399,2952,3911,2449,5573,3941,1712,2549,3333,6157,9206,1613,16861,9425,8420,2663,2706,11966,10926,3766,2268,7433,3164,1059,14911,5549,2010,2351,6826,253,4045,1956,6392,428,5392,1317,5009,1762,1126,1342,8839,1207,5705,950,5732,1418,792,7,1489,1009,12338,3605,1862,1744,9941,4226,2,4942,6421,2360,2515,3338,8520,1006,6959,1255,5042,2520,4812,5219,8313,4750,1254,3536,327,1478,5357,26850,974,3387,1811,6436,746,1136,19511,19677,1503,3545,1279,1326,0,6255,17197,3070,6272,6102,3778,5226,1563,20837,2644,998,4352,2943,3953,3072,5206,7848,2317,9797,18533,6669,1628,1154,14983,1434,2520,4703,486,5589,10929,6389,645,6366,2072,1162,11974,3905,18755,1331,1093,3465,1419,2708,17515,9965,4088,532,1508,1999,735,16534,2391,6289,1151,2950,1493,2107,8496,2864,2187,1907,1057,912,3236,1368,3112,2981,7569,1564,3072,3312,7282,864,1230,7341,4355,12190,14875,4831,7475,1287,2437,2331,3079,18674,294,0,10755,4407,736,1765,1037,920,4176,3532,10700,3022,1054,5053,7779,0,1235,727,3489,596,3777,15048,4506,1416,1265,4492,3211,12220,7611,2503,10030,2403,1396,12482,14257,4259,7063,4312,2028,4870,1206,5240,9410,2257,836,2098,1036,4651,2445,734,1255,4305,7524,6639,1053,1537,3277,4944,6223,19106,3379,3264,3957,6470,4224,5852,6240,7034,4652,1385,7043,1017,12120,887,10281,964,2373,1143,5395,1694,4553,1330,1523,6932,838,4555,1364,2556,857,1087,2122,1054,3641,893,6383,952,3640,2012,4796,2838,4684,2498,2058,8365,2071,1952,1794,3543,2420,0,9025,3430,642,2611,1627,1563,25603,12925,1021,6189,1138,1848,5977,6784,970,1645,2877,790,1454,14127,1232,679,9770,8629,1273,1365,523,6406,7842
2_IDH1,74,860,557,108,116,468,114,482,1310,286,53,343,108,115,270,3286,3159,3823,244,16,1471,152,43,119,135,286,346,85,868,296,212,231,426,265,494,166,646,54,308,100,691,128,16,1353,143,1214,1218,606,850,924,755,660,223,62,632,144,1011,111,197,6,85,269,254,372,56,91,61,674,162,389,103,121,132,707,747,818,60,571,293,508,668,0,192,64,337,67,50,817,49,250,124,605,671,12,235,974,50,1477,490,102,238,227,1429,114,96,58,483,15,23,377,1273,159,1285,12,93,149,7,5152,302,76,978,403,41,338,414,318,313,177,40,364,161,22,1147,575,8,45,122,105,900,92,571,426,148,57,288,1167,82,1227,743,169,200,519,357,213,531,493,57,290,277,400,925,1068,334,503,157,80,147,125,60,333,2676,68,3077,20,28,5184,123,44,502,673,3818,4915,579,1082,313,322,315,35,0,36,154,37,59,375,448,495,806,2503,250,96,1250,332,289,676,624,177,182,104,154,1188,464,95,76,559,1038,199,4138,60,17,317,2109,15,164,515,216,323,89,120,107,342,109,15,650,76,51,424,31,98,151,1,71,85,837,115,43,852,185,325,54,618,669,67,725,217,1173,341,3827,372,230,1596,553,613,340,368,24,1632,55,146,325,4609,25,1014,344,2338,261,69,943,1668,59,159,287,32,0,159,3131,503,460,107,836,201,90,2111,111,204,1507,175,441,258,27,414,789,1061,1507,926,50,108,1107,151,224,31,155,131,1448,143,159,130,355,311,1107,89,2079,129,46,645,209,3,3090,311,162,302,172,30,76,2845,192,737,471,220,122,819,140,134,205,94,405,248,337,218,53,450,390,18,360,133,224,560,28,687,1050,969,1316,330,134,242,230,1261,83,302,0,0,521,336,360,249,18,30,127,99,335,81,113,193,343,270,235,121,298,78,239,1481,0,87,60,244,304,2843,177,510,573,94,347,245,1188,469,2764,34,482,92,829,520,47,700,162,548,10,202,338,53,182,83,1005,151,445,31,257,314,124,2093,95,152,318,1685,223,199,1172,40,1192,97,37,286,1122,302,585,17,298,207,405,218,1098,137,44,68,82,113,0,197,48,161,331,100,123,590,154,407,1968,182,597,341,468,245,180,221,705,90,133,73,191,0,168,186,0,218,70,222,2832,2277,282,386,93,0,221,554,8,54,33,21,63,639,84,134,500,112,3,74,19,85,138
3_GATA2,376,961,452,88,193,798,210,282,1490,674,338,10,28,272,276,2605,3234,4472,330,44,2399,6,124,137,20,889,246,35,312,195,146,1577,100,139,152,466,543,12,97,870,797,379,337,100,852,1067,639,842,0,886,754,625,102,128,1114,274,501,14,978,52,251,1523,641,450,707,54,153,2,133,186,122,34,489,301,340,994,116,1583,0,531,466,4,185,0,193,147,103,807,228,534,1043,915,962,95,4,1144,158,2595,1171,698,182,409,944,0,395,316,231,36,529,94,1668,274,876,298,8,136,53,5506,631,774,593,36,36,96,3653,1022,316,20,112,955,374,177,396,743,509,112,504,70,1097,126,0,302,0,104,154,1681,394,1400,294,24,718,808,86,486,515,762,54,1740,655,1372,591,813,271,207,514,152,64,985,206,270,2945,32,1184,0,290,6165,259,106,151,122,2509,3807,756,1222,210,192,128,421,611,224,0,311,46,323,137,1420,146,324,44,54,482,232,502,537,1047,115,533,493,54,482,895,394,130,360,238,84,3346,266,90,144,565,0,298,286,408,26,756,78,168,64,20,115,573,0,0,336,188,212,160,0,421,204,623,0,16,275,635,0,584,163,1040,261,373,140,288,74,418,36,776,21,326,546,645,146,142,562,4,4,411,1950,220,170,42,922,104,70,1087,906,46,601,272,6,208,569,1591,76,1020,302,829,0,44,3171,188,80,284,264,44,425,562,691,750,1013,1860,590,48,72,1395,336,128,361,96,30,1030,807,259,852,284,271,1168,300,1011,66,110,1727,406,270,2155,1429,612,120,70,53,74,1376,482,0,64,76,12,206,1431,316,123,163,208,99,567,451,204,753,710,272,722,283,329,109,118,924,333,982,2269,184,1208,18,132,272,445,1212,217,313,1735,448,315,94,10,28,642,188,386,248,74,370,664,675,162,0,96,100,132,1929,900,177,335,650,168,2266,213,611,776,116,503,1249,1319,86,648,222,202,402,38,462,481,198,224,385,522,1022,254,52,96,494,1572,618,64,180,384,1063,574,2180,1080,502,202,902,441,384,848,455,1188,244,917,2,1184,61,809,14,588,0,252,96,219,286,374,826,0,439,222,294,78,155,0,49,192,258,1142,134,522,0,368,248,342,94,184,2,617,232,92,744,514,280,828,154,111,242,187,118,5184,1179,210,889,59,0,102,463,17,140,636,200,278,1571,22,78,1275,425,150,16,46,371,236
4_KIT,5830,19397,8558,1572,5374,7476,6907,2008,35514,8648,6,18914,2863,3597,8671,49993,30501,52285,2989,1290,23564,7064,3128,4954,4831,12167,3561,5969,3504,642,1672,10622,5002,1610,14902,8115,13485,2297,5304,8225,13363,7177,1881,4668,9007,9175,5872,11563,3857,16272,10039,6089,1434,1541,8503,4670,9678,2815,10005,1033,3764,11588,6642,25730,3972,2578,1884,5412,4987,2869,3123,4963,3830,17369,3316,9768,3738,14646,0,7475,15404,3517,4900,4594,2809,2651,2469,5493,5035,11345,4,9221,22037,887,7059,14508,3631,36038,5568,7001,4835,3417,12026,11702,7842,6161,8640,1601,2979,8430,38590,7164,19383,2760,2502,1427,2959,54960,20420,3320,5683,13889,2463,4341,16664,2947,5300,2185,2181,20297,6561,3184,4000,21911,5337,2496,5769,2860,16408,7178,6009,5184,3087,5811,4086,13576,1393,11712,4688,3336,10550,13511,1851,3782,5159,19155,5498,10287,9332,19688,12743,14332,24024,4377,5169,5163,4326,3954,2094,1624,53930,10118,44323,4716,7438,51534,2709,2357,3662,19153,55178,55121,11670,15994,2594,5500,2326,4168,4733,6695,2365,1819,3264,6477,8388,5928,8655,7674,2452,1808,7562,10658,12642,6281,23252,12526,10929,3524,2539,27092,14185,8671,3308,9426,4130,2178,33929,6231,2148,8817,11312,1644,8348,2927,13421,2408,6309,2287,10254,2191,1655,1698,10633,1419,9643,2542,6237,1195,1917,11933,1914,2724,17504,6086,5009,3733,14442,14771,7380,12633,12543,2684,2819,5516,15705,1925,12239,2544,3668,2763,3163,19780,14975,18644,3697,9036,1989,3650,6737,48396,710,4791,1035,12226,1488,3477,31161,32996,2425,9053,3791,4052,3794,6291,27018,4201,12775,9633,5518,10278,3726,39096,2888,1913,15818,5463,7769,3878,9506,15830,5351,15419,31773,14639,2107,1801,26397,2144,4513,6359,2015,5849,23203,5716,1817,7138,3801,1771,25917,3055,35905,1225,1606,6252,7042,3297,35739,11202,7010,4781,1379,1893,2151,35638,4429,3423,1862,3001,4331,5020,13999,5763,5023,2508,1774,1718,10684,3751,4666,6000,13837,1840,6839,6526,9261,1781,857,9924,4191,26274,21327,7303,17333,1736,7144,4588,4203,30079,1115,6628,9297,5960,2499,2021,1007,2017,6251,6030,21309,10259,2188,12419,16724,2,1993,1022,2899,1391,3200,25035,2214,2056,7268,9575,5790,20166,11867,3838,11506,3321,1558,22890,23934,3803,9486,5995,3314,10004,2499,6188,8477,4044,1726,4942,2286,10089,2488,2101,1912,3980,22243,12842,1768,6246,4076,7241,6661,36980,7476,2696,4327,16853,5094,8648,15706,11677,14224,1895,10878,6144,17877,1948,13735,1323,2663,2107,18442,2681,4845,5813,3397,10949,965,5832,1186,4667,1252,1718,2914,1908,5302,2097,9815,1439,6448,2028,7855,3843,5598,3591,3092,14518,6580,2662,2694,1475,5083,2967,14341,3954,189,4262,2513,2361,53018,27434,2175,8202,1438,4841,3993,9440,1266,1355,5184,6582,1546,14720,2876,7229,13894,11052,4008,2003,881,8704,11006
4_TET2,16137,59992,26340,4411,20192,21053,17719,5044,80632,21348,7502,45645,11933,20698,20343,95372,70311,108237,11103,8222,81418,29138,12989,18246,21128,29258,9972,19734,8201,5496,3850,33924,15311,8567,32584,40133,49796,4659,13315,28725,56669,19066,7100,20153,27242,28062,17878,40754,7301,50301,13882,19226,4296,5571,42774,21890,37464,9496,29527,5877,12758,33002,25657,73437,23849,2941,9399,14919,17146,6316,14493,16032,12510,53673,13994,31962,10994,42144,2,17813,55915,1617,13033,9066,10431,10321,6297,15463,16462,26758,11725,22703,56628,5580,27251,47970,12648,79668,18612,35457,20266,11808,47922,29766,24480,16119,25144,5681,13681,43737,101089,30909,50642,11681,8568,5213,6405,102363,60659,11223,18718,32234,14724,14390,51421,6481,14804,4969,10151,41220,28645,10978,9115,49067,20555,17088,22605,6056,57593,15803,15268,18836,10649,11001,12496,61387,16930,43114,16784,10989,57564,38641,3540,10899,16564,47436,12680,34841,27051,52416,48799,35018,67283,15667,13517,13616,20354,17829,10087,5380,93434,25149,87118,13972,25955,96006,7369,7687,5732,43049,103449,102544,43766,41242,10640,19464,5793,11407,34064,20156,7077,7125,10037,17053,18501,22024,23883,20301,6850,6101,20360,24765,39244,8934,76726,37469,39861,20378,12828,63103,39334,30335,8902,45692,14740,5834,70087,28238,11142,19018,42069,11157,23676,8363,39657,6039,15496,5895,17958,8065,8893,3639,27945,5910,27014,6480,28323,6905,7795,38370,4392,4692,43370,23592,14279,12541,36485,37191,16164,25698,46177,11966,6465,16973,51202,4692,38894,7920,18245,10921,21052,30366,67259,38965,7938,21195,4998,12986,27029,91834,6205,13409,3819,45061,4541,8020,87630,83250,7612,25602,5142,27348,14266,26599,78889,11245,46820,25782,19866,25866,13411,89987,5037,4736,35837,15376,18211,10591,22610,44797,9438,45634,76556,38599,6209,5990,69349,6356,12408,23569,5988,11399,53739,22917,4895,34860,11717,3239,62492,14929,86005,6270,6290,11103,18963,10039,96204,34889,26021,13658,5254,8872,6287,79341,12069,7156,5956,4760,13147,12415,47757,15386,13258,9553,5116,5283,17482,17061,13371,15572,70159,11572,15363,26699,33419,4822,6855,36095,17351,64183,84842,18390,58144,4436,20412,13105,18257,77254,6877,13128,50775,22229,7138,4737,5721,6831,23539,16411,57314,18533,4934,31281,45243,19434,5737,12834,14902,5675,19793,85116,34483,6778,24118,25968,15701,65106,33220,15497,34577,15151,6918,64153,62447,27598,42519,29531,10002,34897,2821,19061,41203,11286,6772,10236,10416,39242,13836,6561,7172,18338,57327,31420,4703,17485,14304,28132,35313,87163,20646,10075,18002,40124,19337,26103,40111,42183,19383,6652,39949,16315,65509,5133,48992,4948,9547,7682,46837,7790,19380,15471,12545,31416,5541,16743,6663,19416,4715,6135,6908,6222,24365,6380,43036,3550,18375,16676,20864,21082,20522,10138,9409,43106,11563,9972,8054,15712,22043,12627,23170,17214,8917,14829,7450,7021,101023,58609,6017,31110,4312,14622,17912,35465,4842,7192,23359,16314,7147,55437,3976,25483,46433,8096,14226,8044,4552,35175,43266
